ID,ID_only,Population,Species,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,ID_only,H3,H4,H5
UC30RR01_HYB_creast,UC30RR01,HYB,hybrids,3901.099069,9.728426605,23.542,0.141936736,0.162362994,0.158074749,0.189937431,0.218641516,0.516777891,4.554575215,0.307075499,0.11827027,1538.160555,18.37313158,-0.044777713,1.888602579,0.755966161,0.223365537,698,386,UC30RR01,603,0.112842792,598
UD23RR01_HYB_crown,UD23RR01,HYB,hybrids,3750.382118,9.352573861,22.03624242,0.166458402,0.191738904,0.17422458,0.178091445,0.199821534,0.487929177,4.25980252,0.28295423,0.178962963,1293.968417,16.86317576,0.041830325,1.803051867,0.732750027,0.322679504,700,448,UD23RR01,607,0.028144628,597
UE07RR01_HYB_creast,UE07RR01,HYB,hybrids,2864.50253,7.143397829,20.63087879,0.122014197,0.137682855,0.117166903,0.156380311,0.214054108,0.61076279,10.39089036,0.386769532,0.747,1502.11296,18.64540131,-0.233562588,2.610158605,0.849208838,1.949788478,695,394,UE07RR01,603,0.049857501,424
UD30RR01_Jaffna_creast,UD30RR01,Jaffna,D.benghalense,4164.567635,10.38545545,30.9875,0.115083425,0.130999712,0.109669405,0.153766968,0.215949378,0.627903357,10.03015948,0.385075897,0.671531532,2283.712796,27.89806757,-0.259900129,2.686263275,0.868720384,1.803910491,697,386,UD30RR01,604,0.052877311,601
UD30RR04_Jaffna_creast,UD30RR04,Jaffna,D.benghalense,3977.499495,9.918951358,17.77590909,0.195232126,0.22364758,0.198681912,0.218298385,0.21586513,0.395002028,2.859573757,0.219919746,0.65915015,926.4354379,11.55962981,0.154389716,1.165408458,0.60858594,0.76817916,700,415,UD30RR04,596,0.105836421,411
UE01RR02_Jaffna_creast,UE01RR02,Jaffna,D.benghalense,6774.312134,16.89354647,25.07052778,0.329587729,0.382087539,0.252975759,0.157178308,0.142207696,0.267642167,2.711279241,0.300179957,1.338722222,1169.408292,15.8237754,0.529099384,0.936675755,0.40296754,1.253948649,417,427,UE01RR02,618,-1.330628632,332
UD30RR03_Jaffna_creast,UD30RR03,Jaffna,D.benghalense,4187.723212,10.44320003,26.25733333,0.152340214,0.17267157,0.143161842,0.169420058,0.208423287,0.541555926,5.125437845,0.323539343,0.14437037,1796.616243,21.13438889,-0.07936016,2.023746441,0.799142482,0.292169023,698,448,UD30RR03,605,0.028246612,607
UE01RR01_Jaffna_creast,UE01RR01,Jaffna,D.benghalense,1952.168959,4.868251769,19.87358586,0,0,0.006244539,0.139058958,0.272868973,0.860455628,Inf,0.545974785,0.256291667,1735.737781,19.87358586,-0.75859466,4.082283909,1,1.046255347,695,697,UE01RR01,601,0.127851328,586
UE01RR03_Jaffna_creast,UE01RR03,Jaffna,D.benghalense,5109.501968,12.74190017,27.1639375,0.174991558,0.197504761,0.160473694,0.198910478,0.224972715,0.472644483,4.127800201,0.269553908,0.883488488,1770.030009,20.58320777,-0.006944761,1.615395467,0.733472019,1.427183299,699,421,UE01RR03,596,0.056964907,417
UE01RR04_Jaffna_ceast,UE01RR04,Jaffna,D.benghalense,3534.228156,8.813536549,22.751,0.12051051,0.138264549,0.128796367,0.199995359,0.239251931,0.557479167,7.161454925,0.329734739,0.169990741,1650.702648,19.57413158,-0.166136317,2.220916822,0.829967815,0.377535296,698,448,UE01RR04,598,0.15435411,607
