ID,Species,Feather,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5
UC20RR06,D. benghalense,Crown,4167.67534,10.39320534,19.87112121,0.196493948,0.225334516,0.200033433,0.19360905,0.199719411,0.41690779,2.978880853,0.234893021,0.251340591,1041.711225,13.20045455,0.149971625,1.270104276,0.623456912,0.319228759,700,419,602,-0.007645322,597
UC20RR06,D. benghalense,Mantle,6876.092739,17.14736344,34.28151515,0.130217042,0.149110872,0.133742733,0.292272836,0.295702643,0.450659208,4.610014294,0.247344538,0.205585085,2630.040762,26.84520087,-0.292795938,1.565558516,0.762387874,0.321855481,700,419,552,0.411721668,528
UC20RR07,D. benghalense,Crown,2262.194325,5.641382356,16.3575,0.111054209,0.126819817,0.10706613,0.171305099,0.234212279,0.617375018,13.25741479,0.374013483,0.670178679,1230.302315,15.12366216,-0.272841681,2.680843312,0.882776307,1.796644029,697,418,600,0.090343214,432
UC20RR07,D. benghalense,Mantle,4836.298795,12.0605955,24.62769697,0.137731862,0.156062192,0.125604682,0.288384086,0.292593955,0.455068932,5.724001507,0.251110214,0.736918919,1883.999764,20.32516544,-0.308019184,1.685253886,0.795532828,1.241895472,700,359,550,0.372477581,398
UC28RR01,D. benghalense,Crown,4847.064897,12.08744363,26.86983333,0.152374756,0.17563813,0.171710208,0.198214589,0.217839498,0.484674498,4.355666723,0.280043911,0.174916667,1693.098492,20.7008964,0.005737812,1.712595072,0.721257166,0.299561421,699,416,601,0.125993585,604
UC28RR01,D. benghalense,Mantle,6775.766298,16.89717281,36.61466667,0.121579604,0.137166329,0.112830393,0.276346505,0.299702287,0.496095886,5.563341226,0.271739378,0.212837838,2985.159303,30.03325,-0.293874046,1.777412727,0.815936945,0.378300682,700,373,566,0.330351321,533
UD30RR01,D. benghalense,Crown,4164.567635,10.38545545,30.9875,0.115083425,0.130999712,0.109669405,0.153766968,0.215949378,0.627903357,10.03015948,0.385075897,0.671531532,2283.712796,27.89806757,-0.259900129,2.686263275,0.868720384,1.803910491,697,386,604,0.052877311,601
UD30RR01,D. benghalense,Mantle,3919.627734,9.774632753,21.33716667,0.126721533,0.142228808,0.114982698,0.287578923,0.29760998,0.477242133,5.999625091,0.276443012,0.226916667,1657.251552,17.78075,-0.314604215,1.8190709,0.817468841,0.412777505,698,425,557,0.364879033,526
UD30RR03,D. benghalense,Crown,4187.723212,10.44320003,26.25733333,0.152340214,0.17267157,0.143161842,0.169420058,0.208423287,0.541555926,5.125437845,0.323539343,0.14437037,1796.616243,21.13438889,-0.07936016,2.023746441,0.799142482,0.292169023,698,448,605,0.028246612,607
UD30RR03,D. benghalense,Mantle,9482.353186,23.64676605,42.30411111,0.148567248,0.166733343,0.119965073,0.31720045,0.307412958,0.420982046,4.570132777,0.247601373,0.716684685,3506.630917,33.04746296,-0.378856891,1.397546831,0.775788096,1.00160041,695,376,533,0.444485561,528
UD30RR04,D. benghalense,Crown,3977.499495,9.918951358,17.77590909,0.195232126,0.22364758,0.198681912,0.218298385,0.21586513,0.395002028,2.859573757,0.219919746,0.65915015,926.4354379,11.55962981,0.154389716,1.165408458,0.60858594,0.76817916,700,415,596,0.105836421,411
UD30RR04,D. benghalense,Mantle,5934.851211,14.80012771,31.42783333,0.105556206,0.118372392,0.089906163,0.328810469,0.332499759,0.48230121,8.882259108,0.27250678,0.748814815,2809.91578,27.88956306,-0.509214054,1.884413676,0.857312415,1.411076878,698,427,537,0.456957388,317
UE01RR01,D. benghalense,Crown,1952.168959,4.868251769,19.87358586,0,0,0.006244539,0.139058958,0.272868973,0.860455628,Inf,0.545974785,0.256291667,1735.737781,19.87358586,-0.75859466,4.082283909,1,1.046255347,695,697,601,0.127851328,586
UE01RR01,D. benghalense,Mantle,4485.745138,11.18639685,26.81592929,0.02594766,0.025991911,0.068431327,0.356632398,0.370976709,0.555535563,Inf,0.330944484,0.538598625,2745.815675,26.81592929,-0.705715396,2.397190949,0.872828245,1.291123749,695,315,537,0.540834441,307
UE01RR02,D. benghalense,Crown,6774.312134,16.89354647,25.07052778,0.329587729,0.382087539,0.252975759,0.157178308,0.142207696,0.267642167,2.711279241,0.300179957,1.338722222,1169.408292,15.8237754,0.529099384,0.936675755,0.40296754,1.253948649,417,427,618,-1.330628632,332
UE01RR02,D. benghalense,Mantle,8689.978569,21.6707695,31.41133333,0.253981638,0.293168222,0.191993717,0.233218228,0.22355292,0.327948211,3.414773792,0.178951806,1.265342593,1443.846078,22.21267619,-0.895072067,1.025006343,0.609320061,1.296984183,700,427,323,-0.14590603,338
